sample_id,target_id,host_name,candidate_rank,label,label_source,matched_planet,negative_category,period_days,duration_hours,depth_fraction,depth_error_fraction,snr,power,duty_cycle,odd_even_mismatch,secondary_depth_fraction,secondary_to_primary_ratio,robust_scatter,transit_count,primary_point_count
11295426-r1,11295426,Kepler-68,1,1,recovered_confirmed_planet,Kepler-68 b,,5.402592503071413,4.0,0.000205549493367753,1.1505335425703502e-06,178.6558025144969,178.6558025144969,0.030849386951156403,0.0932523770307201,4.352577831046034e-06,0.015960072200825525,4.041415308395195e-05,40.0,321.0
11359879-r1,11359879,Kepler-15,1,1,recovered_confirmed_planet,Kepler-15 b,,4.946220627495931,4.0,0.005242057724991945,7.114823448409747e-06,736.7797336086549,736.7797336086549,0.033695760706704096,0.21065179190567762,-7.962901141800316e-06,-0.0015121374601637298,0.0001882237322779239,58.0,465.0
11361646-r1,11361646,Kepler-524,1,1,recovered_confirmed_planet,Kepler-524 b,,7.9636143135376285,8.0,0.0001290978374963472,7.633769875392806e-06,16.911413312639883,16.911413312639883,0.041857041314355,0.06850569596518398,1.08377051448727e-05,0.051993309926189085,0.00020844422407917786,35.0,553.0
11401182-r1,11401182,Kepler-845,1,1,recovered_confirmed_planet,Kepler-845 b,,0.9279516422603137,1.0,0.00039985906255282096,9.865798216186008e-06,40.52982371936261,40.52982371936261,0.04490176510186952,0.11031937134395513,-4.077210633557371e-05,-0.09892303773363798,0.0002708828323230454,311.0,627.0
11497977-r1,11497977,Kepler-571,1,1,recovered_confirmed_planet,Kepler-571 b,,4.792521218458509,8.0,0.0002334181211090925,1.048684107654829e-05,22.2581919002363,22.2581919002363,0.06955281325609829,0.07427163962561713,1.164383974483485e-05,0.04075573476228351,0.00028569819223601343,44.0,711.0
11502867-r1,11502867,Kepler-426,1,1,recovered_confirmed_planet,Kepler-426 b,,3.21580320395247,4.0,0.005270688483610777,1.138516019296924e-05,462.9437262433623,462.9437262433623,0.05182738373474486,0.033920808082782715,4.547573964064355e-06,0.005657727137229259,0.0003324853173980953,86.0,689.0
11512246-r5,11512246,Kepler-23,5,1,recovered_confirmed_planet,Kepler-23 c,,10.709386265330464,8.0,0.00013032399860140508,6.744544229023447e-06,19.32287700636443,19.32287700636443,0.031125344167707777,0.34057590526821857,9.408160383639341e-06,0.06271020253967743,0.00015002599262355586,21.0,342.0
11547505-r1,11547505,Kepler-922,1,1,recovered_confirmed_planet,Kepler-922 b,,0.9381775979542535,2.0,0.00010954242421335908,5.75542694927306e-06,19.032892812095348,19.032892812095348,0.08882468896618947,0.09640691443491854,-3.0796185157555556e-08,-0.00016424445171535376,0.00018750213377635022,237.0,953.0
11600889-r1,11600889,Kepler-407,1,1,recovered_confirmed_planet,Kepler-407 b,,0.6695052828672173,2.0,7.869115544148318e-05,2.461503147907697e-06,31.968740526848997,31.968740526848997,0.1244700160937502,0.0327765975265051,4.522740189027985e-06,0.04119725578080233,0.000109782559622225,317.0,1280.0
11621223-r2,11621223,Kepler-535,2,1,recovered_confirmed_planet,Kepler-535 b,,4.8994219146666875,4.0,0.00011922955860075209,5.590046750762288e-06,21.328901870899973,21.328901870899973,0.03401761872512773,0.272641406410643,-6.5285983581464535e-06,-0.03891418418203323,0.00016776911800609512,58.0,451.0
11624249-r1,11624249,Kepler-536,1,1,recovered_confirmed_planet,Kepler-536 b,,1.8274459314439226,2.0,0.0008128124471647742,7.275438416506454e-06,111.72006422605023,111.72006422605023,0.04560098435716182,0.025380515955603502,1.7654759485452587e-06,0.0018625935798806336,0.00020429898760048016,158.0,632.0
11666881-r1,11666881,Kepler-480,1,1,recovered_confirmed_planet,Kepler-480 b,,4.915453324357148,4.0,0.00027493252323249745,6.194657442740384e-06,44.38219962504871,44.38219962504871,0.033906672623824304,0.04723899701766588,2.206109097180331e-05,0.0707782904798602,0.00014067915415686831,45.0,353.0
